start,end,query,region,title,excerpt,date,source,link
1-Jan-2020,31-Jan-2020,semiconductor,GB,"Taiwan Semiconductor Boosted Its Capex Budget. Analysts Say That’s Good 
News for Chip Stocks.","Taiwan Semiconductor (TSM) posted fourth-quarter revenue of $10.39 billion, 
up 10.6% both from a year ago and from the third quarter, but slightly 
below the ...",16 Jan 2020,Barron's,https://www.barrons.com/articles/taiwan-semiconductor-tsmc-capex-budget-semiconductor-equipment-chip-stocks-51579192516
1-Jan-2020,31-Jan-2020,semiconductor,GB,TSMC's Strong Earnings Emphasizes Semiconductor Trends,"Taiwan Semiconductor Manufacturing Company aka TSMC TSM, kicked off 
earnings for chip makers on a positive note this morning. TSMC is the 
largest semiconductor ...",16 Jan 2020,Yahoo Finance,https://finance.yahoo.com/news/tsmcs-strong-earnings-emphasizes-semiconductor-212009842.html
1-Jan-2020,31-Jan-2020,semiconductor,GB,Chipmaker TSMC says ready for potential new US export controls,"Taiwan Semiconductor Manufacturing, the world's largest contract chipmaker, 
said it was ready to deal with potential new US export controls, which 
it ...",15 Jan 2020,Financial Times,https://www.ft.com/content/0be9ed74-3825-11ea-a6d3-9a26f8c3cba4
1-Jan-2020,31-Jan-2020,semiconductor,GB,Lithium-based semiconductor detects thermal neutrons,"A new semiconductor made from lithium, indium, phosphorus, and selenium 
could lead the way to hand-held, portable, sensitive neutron detectors 
(Nature 2020, ...",15 Jan 2020,C&amp;EN,https://cen.acs.org/materials/inorganic-chemistry/Lithium-based-semiconductor-detects-thermal/98/i3
1-Jan-2020,31-Jan-2020,semiconductor,GB,Exclusive: Washington pressures TSMC to make chips in US,"TAIPEI -- Washington has upped the pressure on Taiwan Semiconductor 
Manufacturing Co. to produce its military-use chips in the U.S., in order 
to ensure that ...",15 Jan 2020,Nikkei Asia,https://asia.nikkei.com/Business/Technology/Exclusive-Washington-pressures-TSMC-to-make-chips-in-US
1-Jan-2020,31-Jan-2020,semiconductor,GB,Global semiconductor market takes a hit,"The global semiconductor industry experienced a double-digit decline in 
revenue during 2019, as weak performance in the memory market affected many 
of the ...",14 Jan 2020,Mobile World Live,https://www.mobileworldlive.com/devices/news-devices/global-semiconductor-market-takes-a-hit
1-Jan-2020,31-Jan-2020,semiconductor,GB,"New Semiconductor Technologies Driving Down Cost Of Electric Vehicle 
Batteries","Gallium nitride (GaN) and silicon carbide (SiC) are two semiconductor 
technologies in the driver's seat to change all that. Electric Car Battery 
Box. Close-up ...",8 Jan 2020,Forbes,https://www.forbes.com/sites/mergermarket/2020/01/08/new-semiconductor-technologies-driving-down-cost-of-electric-vehicle-batteries/
1-Jan-2020,31-Jan-2020,semiconductor,GB,South Korea no rival to Taiwan in semiconductor industry ...,"TAIPEI (Taiwan News) — South Korea can hardly compete with Taiwan in 
semiconductor manufacturing despite the ambitious move by Samsung 
Electronics to put a ...",21 Jan 2020,Taiwan News,https://www.taiwannews.com.tw/en/news/3861646
1-Jan-2020,31-Jan-2020,semiconductor,GB,Intel retook semiconductor top spot from Samsung in 2019,"Worldwide revenue for semiconductors, however, was only around $418 billion 
-- a decline of 12% from 2018, it said. Intel was top in 2019 revenue at 
around ...",15 Jan 2020,ZDNet,https://www.zdnet.com/article/intel-retook-semiconductor-top-spot-from-samsung-in-2019/
1-Jan-2020,31-Jan-2020,semiconductor,GB,ON Semiconductor and Pony.ai Collaboration on Next-Gen ...,"06, 2020 (GLOBE NEWSWIRE) -- ON Semiconductor (Nasdaq: ON), driving energy 
efficient innovations, and Pony.ai, a leading autonomous driving 
technology ...",6 Jan 2020,GlobeNewswire,https://www.globenewswire.com/news-release/2020/01/06/1966657/0/en/ON-Semiconductor-and-Pony-ai-Collaboration-on-Next-Gen-Image-Sensing-and-Processing-Technologies-for-Autonomous-Vehicles.html
1-Jan-2020,31-Jan-2020,semiconductor,GB,AKHAN Semiconductor Issued Major Patent in United States,"CHICAGO--(BUSINESS WIRE)--AKHAN Semiconductor, a technology company 
specializing in the fabrication and application of lab-grown, 
electronic-grade diamonds, ...",30 Jan 2020,Business Wire,https://www.businesswire.com/news/home/20200130005463/en/AKHAN-Semiconductor-Issued-Major-Patent-in-United-States
1-Jan-2020,31-Jan-2020,semiconductor,GB,GOWIN Semiconductor Takes Leadership Position in Always-On,"SAN JOSE, Calif. and GUANGZHOU, China, Jan. 06, 2020 (GLOBE NEWSWIRE) -- 
GOWIN Semiconductor Corp., the world's fastest-growing programmable logic 
company, ...",6 Jan 2020,GlobeNewswire,https://www.globenewswire.com/en/news-release/2020/01/06/1966242/0/en/GOWIN-Semiconductor-Takes-Leadership-Position-in-Always-On-Low-Power-FPGAs-with-GW1NZ-ZV-Device-Production.html
1-Jan-2020,31-Jan-2020,semiconductor,GB,Lattice Semiconductor Showcases Low Power FPGA-based AI ...,"Lattice Semiconductor Showcases Low Power FPGA-based AI/ML Solutions at 
tinyML Summit. January 29, 2020 04:00 PM Eastern Standard Time. HILLSBORO, 
Ore.--( ...",29 Jan 2020,Business Wire,https://www.businesswire.com/news/home/20200129005128/en/Lattice-Semiconductor-Showcases-Low-Power-FPGA-based-AIML-Solutions-at-tinyML-Summit
1-Jan-2020,31-Jan-2020,semiconductor,GB,Trump’s China Deal Creates Collateral Damage for Tech Firms,"Trump set out to protect. “Let's be clear, the trade war has been very bad 
for the semiconductor industry in several ways,” said Robert D. Atkinson, 
president ...",20 Jan 2020,The New York Times,https://www.nytimes.com/2020/01/20/business/economy/trump-us-china-deal-micron-trade-war.html
1-Jan-2020,31-Jan-2020,semiconductor,GB,SOS LAB Signs a LiDAR Collaboration MOU with ON ...,"ON Semiconductor is the leading provider of intelligent sensing solutions 
for automotive and autonomous perception, with advanced technology 
targeting all ...",9 Jan 2020,Business Wire,https://www.businesswire.com/news/home/20200109005300/en/SOS-LAB-Signs-a-LiDAR-Collaboration-MOU-with-ON-Semiconductor-to-Advance-the-Development-and-Commercialization-of-Solid-state-LiDAR-for-Automotive-and-Smart-Factory-Markets
